table1.a,table1.b,table1.c,table2.b,table2.d
922,158,5727,158,11191
922,158,5727,773,14421
922,158,5727,85,5117
922,158,5727,811,13393
922,158,5727,311,16116
922,158,5727,646,5403
922,158,5727,335,6309
922,158,5727,803,12262
922,158,5727,718,10226
922,158,5727,731,13021
922,158,5727,158,11191
922,158,5727,773,14421
640,773,5058,158,11191
640,773,5058,773,14421
640,773,5058,85,5117
640,773,5058,811,13393
640,773,5058,311,16116
640,773,5058,646,5403
640,773,5058,335,6309
640,773,5058,803,12262
640,773,5058,718,10226
640,773,5058,731,13021
640,773,5058,158,11191
640,773,5058,773,14421
775,85,10164,158,11191
775,85,10164,773,14421
775,85,10164,85,5117
775,85,10164,811,13393
775,85,10164,311,16116
775,85,10164,646,5403
775,85,10164,335,6309
775,85,10164,803,12262
775,85,10164,718,10226
775,85,10164,731,13021
775,85,10164,158,11191
775,85,10164,773,14421
-551,811,1534,158,11191
-551,811,1534,773,14421
-551,811,1534,85,5117
-551,811,1534,811,13393
-551,811,1534,311,16116
-551,811,1534,646,5403
-551,811,1534,335,6309
-551,811,1534,803,12262
-551,811,1534,718,10226
-551,811,1534,731,13021
-551,811,1534,158,11191
-551,811,1534,773,14421
-952,311,1318,158,11191
-952,311,1318,773,14421
-952,311,1318,85,5117
-952,311,1318,811,13393
-952,311,1318,311,16116
-952,311,1318,646,5403
-952,311,1318,335,6309
-952,311,1318,803,12262
-952,311,1318,718,10226
-952,311,1318,731,13021
-952,311,1318,158,11191
-952,311,1318,773,14421
-354,646,7063,158,11191
-354,646,7063,773,14421
-354,646,7063,85,5117
-354,646,7063,811,13393
-354,646,7063,311,16116
-354,646,7063,646,5403
-354,646,7063,335,6309
-354,646,7063,803,12262
-354,646,7063,718,10226
-354,646,7063,731,13021
-354,646,7063,158,11191
-354,646,7063,773,14421
-497,335,4549,158,11191
-497,335,4549,773,14421
-497,335,4549,85,5117
-497,335,4549,811,13393
-497,335,4549,311,16116
-497,335,4549,646,5403
-497,335,4549,335,6309
-497,335,4549,803,12262
-497,335,4549,718,10226
-497,335,4549,731,13021
-497,335,4549,158,11191
-497,335,4549,773,14421
411,803,10519,158,11191
411,803,10519,773,14421
411,803,10519,85,5117
411,803,10519,811,13393
411,803,10519,311,16116
411,803,10519,646,5403
411,803,10519,335,6309
411,803,10519,803,12262
411,803,10519,718,10226
411,803,10519,731,13021
411,803,10519,158,11191
411,803,10519,773,14421
-900,718,9020,158,11191
-900,718,9020,773,14421
-900,718,9020,85,5117
-900,718,9020,811,13393
-900,718,9020,311,16116
-900,718,9020,646,5403
-900,718,9020,335,6309
-900,718,9020,803,12262
-900,718,9020,718,10226
-900,718,9020,731,13021
-900,718,9020,158,11191
-900,718,9020,773,14421
858,731,3668,158,11191
858,731,3668,773,14421
858,731,3668,85,5117
858,731,3668,811,13393
858,731,3668,311,16116
858,731,3668,646,5403
858,731,3668,335,6309
858,731,3668,803,12262
858,731,3668,718,10226
858,731,3668,731,13021
858,731,3668,158,11191
858,731,3668,773,14421
922,158,5727,158,11191
922,158,5727,773,14421
922,158,5727,85,5117
922,158,5727,811,13393
922,158,5727,311,16116
922,158,5727,646,5403
922,158,5727,335,6309
922,158,5727,803,12262
922,158,5727,718,10226
922,158,5727,731,13021
922,158,5727,158,11191
922,158,5727,773,14421
-952,311,1318,158,11191
-952,311,1318,773,14421
-952,311,1318,85,5117
-952,311,1318,811,13393
-952,311,1318,311,16116
-952,311,1318,646,5403
-952,311,1318,335,6309
-952,311,1318,803,12262
-952,311,1318,718,10226
-952,311,1318,731,13021
-952,311,1318,158,11191
-952,311,1318,773,14421
